dataset1,dataset2,feature,csi
train,validation,action6Count,0.005666481154116788
train,validation,action9Count,0.005643753491981212
test,validation,amountMod1000,0.0056268168532607535
test,validation,distinctRecipientCount,0.005456334697380993
train,test,amountMod100,0.005398776096785002
train,test,action2Count,0.005258299669670134
train,test,actionCount,0.005221742832262214
train,test,amountMod1000,0.004881121112786618
train,test,action4Count,0.004697147813433231
train,validation,transactionCount,0.004593289326737457
train,test,amountMod250,0.004428037083057008
test,validation,amountMod100,0.00437081887913837
train,validation,profileSecondsToTransactionZScore,0.004146542454994429
test,validation,amountMod500,0.004077080765690499
train,validation,amountMod1000,0.0040043153594453125
train,test,distinctRecipientCount,0.003937595484113679
test,validation,profileSessionTransactionCountZScore,0.00385752623108748
train,validation,distinctRecipientCount,0.003744053802950325
train,test,secondsToTransaction,0.0035979798943194382
test,validation,transactionCount,0.003588604002480081
train,validation,profileSessionTransactionFromCreditCardCountZScore,0.0034970743549096834
train,validation,amountMod500,0.0033969257575913797
test,validation,amountMod250,0.0033780006293018
train,validation,amountMin,0.002976846047100859
test,validation,amountMod1,0.0029512431676609234
train,test,amountMod500,0.0029028756271006605
train,test,transactionCount,0.002564427840972142
train,validation,amountMod250,0.002308262112745497
train,validation,amountMod100,0.0022846981910337
train,test,amountMod1,0.0012725159921579893
train,validation,amountMod1,0.001068445864789136
train,validation,profileSessionTransactionCountZScore,0.0009018337605528088
test,validation,profileRawInd,0.0
test,validation,maritalStatusSingle,0.0
test,validation,maritalStatusDivorced,0.0
train,validation,maritalStatusDivorced,0.0
train,test,maritalStatusDivorced,0.0
test,validation,maritalStatusMarried,0.0
train,validation,maritalStatusMarried,0.0
train,test,maritalStatusMarried,0.0
test,validation,accountTypeSavings,0.0
train,validation,maritalStatusSingle,0.0
train,test,maritalStatusSingle,0.0
test,validation,genderMale,0.0
train,validation,genderMale,0.0
train,test,genderMale,0.0
train,test,profileRawInd,0.0
train,validation,accountTypeSavings,0.0
test,validation,accountTypeCreditCard,0.0
train,validation,accountTypeCreditCard,0.0
train,test,accountTypeCreditCard,0.0
train,test,accountTypeChecking,0.0
train,validation,accountTypeChecking,0.0
test,validation,accountTypeChecking,0.0
train,test,accountTypeSavings,0.0
train,validation,profileRawInd,0.0
