threshold,tp,fp,fn,tn,precision,recall,fp_to_tp,accuracy,F1,specificity,fpr
0.54,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.55,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.56,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.5700000000000001,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.58,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.59,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.6,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.61,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.62,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.63,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.64,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.65,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.66,770.0,12.0,1,2390,0.9846547314578005,0.9987029831387808,0.015584415584415584,0.9959029309801449,0.9916291049581455,0.9950041631973355,0.004995836802664466
0.67,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.68,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.6900000000000001,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.7000000000000001,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.71,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.72,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.73,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.74,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.75,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.76,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.77,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.78,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.79,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.8,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.81,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.8200000000000001,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.8300000000000001,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.84,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.85,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.86,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.87,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.88,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.89,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.9,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.91,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.92,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.93,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.9400000000000001,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.9500000000000001,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.96,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.97,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.98,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
0.99,770.0,11.0,1,2391,0.9859154929577465,0.9987029831387808,0.014285714285714285,0.9962180901355184,0.9922680412371134,0.9954204829308909,0.004579517069109085
